Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-01-04 23:10:00+00:00,4371.7998046875,4372.2998046875,4367.0,4368.7998046875,0
2026-01-04 23:11:00+00:00,4373.10009765625,4373.39990234375,4370.0,4371.7998046875,557
2026-01-04 23:12:00+00:00,4378.0,4378.0,4372.5,4373.0,591
2026-01-04 23:13:00+00:00,4378.2998046875,4379.7001953125,4377.2001953125,4378.0,327
2026-01-04 23:14:00+00:00,4378.7998046875,4379.5,4378.10009765625,4378.39990234375,110
2026-01-04 23:15:00+00:00,4379.10009765625,4382.2001953125,4377.7998046875,4378.7998046875,618
2026-01-04 23:16:00+00:00,4375.60009765625,4379.10009765625,4373.7001953125,4379.10009765625,353
2026-01-04 23:17:00+00:00,4376.0,4377.60009765625,4374.7998046875,4375.39990234375,166
2026-01-04 23:18:00+00:00,4373.2998046875,4375.5,4373.2998046875,4375.5,83
2026-01-04 23:19:00+00:00,4374.7001953125,4375.0,4370.39990234375,4373.7998046875,204
2026-01-04 23:20:00+00:00,4377.2001953125,4378.5,4374.89990234375,4374.89990234375,170
2026-01-04 23:21:00+00:00,4375.60009765625,4377.0,4374.39990234375,4377.0,79
2026-01-04 23:22:00+00:00,4376.60009765625,4378.10009765625,4373.39990234375,4375.2001953125,277
2026-01-04 23:23:00+00:00,4375.5,4378.39990234375,4375.5,4377.2998046875,84
2026-01-04 23:24:00+00:00,4374.0,4377.7001953125,4373.7001953125,4375.60009765625,225
2026-01-04 23:25:00+00:00,4374.39990234375,4375.7998046875,4373.60009765625,4374.5,202
2026-01-04 23:26:00+00:00,4375.2001953125,4375.2998046875,4372.60009765625,4373.89990234375,105
2026-01-04 23:27:00+00:00,4376.2998046875,4377.10009765625,4375.2001953125,4375.2998046875,84
2026-01-04 23:28:00+00:00,4375.2001953125,4377.2001953125,4374.7998046875,4376.60009765625,76
2026-01-04 23:29:00+00:00,4376.39990234375,4377.7998046875,4375.39990234375,4375.89990234375,68
2026-01-04 23:30:00+00:00,4374.39990234375,4376.5,4373.2998046875,4376.5,95
2026-01-04 23:31:00+00:00,4373.2001953125,4374.10009765625,4370.89990234375,4373.7998046875,188
2026-01-04 23:32:00+00:00,4370.0,4373.0,4369.60009765625,4373.0,109
2026-01-04 23:33:00+00:00,4368.2001953125,4371.2998046875,4367.7998046875,4370.2001953125,164
2026-01-04 23:34:00+00:00,4365.7998046875,4368.10009765625,4363.2998046875,4368.10009765625,316
2026-01-04 23:35:00+00:00,4367.39990234375,4367.39990234375,4363.89990234375,4365.7998046875,145
2026-01-04 23:36:00+00:00,4364.39990234375,4367.0,4363.5,4367.0,51
2026-01-04 23:37:00+00:00,4368.2001953125,4368.89990234375,4363.7998046875,4364.10009765625,180
2026-01-04 23:38:00+00:00,4370.2001953125,4371.7001953125,4368.2998046875,4368.2998046875,162
2026-01-04 23:39:00+00:00,4371.2998046875,4371.2998046875,4369.0,4370.0,69
2026-01-04 23:40:00+00:00,4372.2001953125,4372.89990234375,4371.0,4371.0,85
2026-01-04 23:41:00+00:00,4371.89990234375,4373.0,4371.60009765625,4372.60009765625,45
2026-01-04 23:42:00+00:00,4370.5,4371.89990234375,4370.10009765625,4371.89990234375,58
2026-01-04 23:43:00+00:00,4370.0,4371.7001953125,4370.0,4370.39990234375,30
2026-01-04 23:44:00+00:00,4371.5,4372.0,4370.39990234375,4370.39990234375,52
2026-01-04 23:45:00+00:00,4373.10009765625,4373.10009765625,4370.39990234375,4371.5,74
2026-01-04 23:46:00+00:00,4374.10009765625,4375.60009765625,4372.2998046875,4373.0,123
2026-01-04 23:47:00+00:00,4375.5,4376.5,4373.2998046875,4374.2001953125,81
2026-01-04 23:48:00+00:00,4377.60009765625,4377.7001953125,4374.2998046875,4375.89990234375,87
2026-01-04 23:49:00+00:00,4379.89990234375,4380.2998046875,4376.10009765625,4377.0,176
2026-01-04 23:50:00+00:00,4383.5,4383.89990234375,4380.0,4380.2001953125,266
2026-01-04 23:51:00+00:00,4381.7998046875,4383.7998046875,4381.2001953125,4383.5,97
2026-01-04 23:52:00+00:00,4384.7998046875,4384.7998046875,4381.2998046875,4382.10009765625,307
